lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
umbridg,Umbridges,ADJ,4,,,,,,,"Er blickte auf, wann immer er meinte, es riskieren zu können: wenn er Umbridges Feder kratzen oder eine Schreibtischschublade aufgehen hörte.","Er blickte auf, wann immer er meinte, es riskieren zu können: wenn er {{c1::Umbridges}} Feder kratzen oder eine Schreibtischschublade aufgehen hörte.",05_harry_potter_und_der_orden_des_phoenix
unverändert,unverändert,ADV,4,,,,,,,"Er schien in dem Monat, in dem sie getrennt gewesen waren, um einige Zentimeter gewachsen zu sein und wirkte noch größer und schlaksiger, aber die lange Nase, das leuchtend rote Haar und die Sommersprossen waren unverändert.","Er schien in dem Monat, in dem sie getrennt gewesen waren, um einige Zentimeter gewachsen zu sein und wirkte noch größer und schlaksiger, aber die lange Nase, das leuchtend rote Haar und die Sommersprossen waren {{c1::unverändert}}.",05_harry_potter_und_der_orden_des_phoenix
wären,wär's,VERB,4,,,,,,,"»Hagrid, du musst die Inspektion von Umbridge bestehen, und da wär's wirklich besser, wenn sie sehen würde, dass du uns beibringst, wie man sich um Porlocks kümmert oder wie man Knarle und Igel unterscheiden kann, so Zeug eben!«, sagte Hermine ernst.","»Hagrid, du musst die Inspektion von Umbridge bestehen, und da {{c1::wär's}} wirklich besser, wenn sie sehen würde, dass du uns beibringst, wie man sich um Porlocks kümmert oder wie man Knarle und Igel unterscheiden kann, so Zeug eben!«, sagte Hermine ernst.",05_harry_potter_und_der_orden_des_phoenix
Blutsverräter,Blutsverräter,NOUN,3,masculine,singular,Blutsverräter,,Blutsverräter (1),,"»Schandflecke, schmutzige Halbblüter, Blutsverräter, Gossenkinder ...«","»Schandflecke, schmutzige Halbblüter, {{c1::Blutsverräter}}, Gossenkinder ...«",05_harry_potter_und_der_orden_des_phoenix
DA-Treffen,DA-Treffen,NOUN,3,neuter,plural,DA-Treffen,,DA-Treffen (2),,"re DA-Treffen vorerst aus, weil Angelina auf fast","re {{c1::DA-Treffen}} vorerst aus, weil Angelina auf fast",05_harry_potter_und_der_orden_des_phoenix
Dauerklebefluch,Dauerklebefluch,NOUN,3,neuter,singular,,,,,"»Seit einem Monat versuchen wir sie nun schon abzuhängen, aber ich fürchte, sie hat den Bildrücken mit einem Dauerklebefluch an die Wand gehext.","»Seit einem Monat versuchen wir sie nun schon abzuhängen, aber ich fürchte, sie hat den Bildrücken mit einem {{c1::Dauerklebefluch}} an die Wand gehext.",05_harry_potter_und_der_orden_des_phoenix
Dementorenangriff,Dementorenangriff,NOUN,3,masculine,singular,,,,,einen Dementorenangriff konnten sie unmöglich ignorieren.,einen {{c1::Dementorenangriff}} konnten sie unmöglich ignorieren.,05_harry_potter_und_der_orden_des_phoenix
Elfenhüte,Elfenhüte,NOUN,3,feminine,plural,,,,,"Zerknüllte Pergamentfetzen, alte Koboldsteine, leere Zutatengefäße und Süßigkeitenpapier - der ganze Abfall, der normalerweise am Ende des Tages im Gemeinschaftsraum verstreut lag, war verschwunden, außerdem sämtliche Elfenhüte von Hermine.","Zerknüllte Pergamentfetzen, alte Koboldsteine, leere Zutatengefäße und Süßigkeitenpapier - der ganze Abfall, der normalerweise am Ende des Tages im Gemeinschaftsraum verstreut lag, war verschwunden, außerdem sämtliche {{c1::Elfenhüte}} von Hermine.",05_harry_potter_und_der_orden_des_phoenix
Grawpy,Grawpy,NOUN,3,feminine,singular,,,,,"»Alles klar, Grawpy?«, sagte Hagrid mit gespielt fröhlicher Stimme und wich zurück, den langen Ast erhoben und bereit, Grawp noch einmal damit zu stechen.","»Alles klar, {{c1::Grawpy}}?«, sagte Hagrid mit gespielt fröhlicher Stimme und wich zurück, den langen Ast erhoben und bereit, Grawp noch einmal damit zu stechen.",05_harry_potter_und_der_orden_des_phoenix
Großmeister,Großmeisters,NOUN,3,masculine,singular,Großmeistern,Großmeister,,,"Sie haben ihm das Amt des Großmeisters beim Zaubergamot entzogen - das ist das Oberste Gericht der Zauberer - und sie reden davon, ihm auch den Merlinorden erster Klasse abzuerkennen.","Sie haben ihm das Amt des {{c1::Großmeisters}} beim Zaubergamot entzogen - das ist das Oberste Gericht der Zauberer - und sie reden davon, ihm auch den Merlinorden erster Klasse abzuerkennen.",05_harry_potter_und_der_orden_des_phoenix
Hausaufgabenplaner,Hausaufgabenplaner,NOUN,3,masculine,singular,Hausaufgabenplaner,,Hausaufgabenplaner (1),,Harry warf seinen neuen Hausaufgabenplaner nach ihm;,Harry warf seinen neuen {{c1::Hausaufgabenplaner}} nach ihm;,05_harry_potter_und_der_orden_des_phoenix
Juniorassistent,Juniorassistent,NOUN,3,masculine,singular,Juniorassistenten,,Juniorassistenten (1),,"Kein schlechter Aufstieg für jemanden, der gerade mal ein Jahr aus Hogwarts raus ist: Juniorassistent des Ministers.","Kein schlechter Aufstieg für jemanden, der gerade mal ein Jahr aus Hogwarts raus ist: {{c1::Juniorassistent}} des Ministers.",05_harry_potter_und_der_orden_des_phoenix
Karkus,Karkus,NOUN,3,feminine,singular,,,,,"Ich leg ihn also in den Schnee vor die Füße von Karkus und sag: »Ein Geschenk für den Gurg der Riesen von Albus Dumbledore, der seine respektvollen Grüße sendet.","Ich leg ihn also in den Schnee vor die Füße von {{c1::Karkus}} und sag: »Ein Geschenk für den Gurg der Riesen von Albus Dumbledore, der seine respektvollen Grüße sendet.",05_harry_potter_und_der_orden_des_phoenix
Krankenstation,Krankenstation,NOUN,3,feminine,singular,Krankenstationen,,Krankenstationen (1),,Sollten Sie nicht auf einer Krankenstation sein?,Sollten Sie nicht auf einer {{c1::Krankenstation}} sein?,05_harry_potter_und_der_orden_des_phoenix
Kristallsphär,Kristallsphären,NOUN,3,,plural,Kristallsphären,,Kristallsphären (3),,"Sie folgten ihr durch die Schwingtür und den schmalen Korridor dahinter entlang, in dem weitere Porträts berühmter Heiler hingen und der von Kristallsphären voller Kerzen erhellt wurde, die oben an der Decke schwebten und wie riesige Seifenblasen aussahen.","Sie folgten ihr durch die Schwingtür und den schmalen Korridor dahinter entlang, in dem weitere Porträts berühmter Heiler hingen und der von {{c1::Kristallsphären}} voller Kerzen erhellt wurde, die oben an der Decke schwebten und wie riesige Seifenblasen aussahen.",05_harry_potter_und_der_orden_des_phoenix
Longbottom,Longbottom,NOUN,3,feminine,singular,,,,,"»Zehn Punkte Abzug für Gryffindor. Lassen Sie Longbottom los, Potter, oder es gibt Nachsitzen.","»Zehn Punkte Abzug für Gryffindor. Lassen Sie {{c1::Longbottom}} los, Potter, oder es gibt Nachsitzen.",05_harry_potter_und_der_orden_des_phoenix
Mimbulus,Mimbulus,NOUN,3,masculine,singular,,,,,"Neville, die Zunge zwischen den Zähnen, hob den Mimbulus mimbeltonia auf Augenhöhe, wählte einen Punkt und versetzte dem Gewächs mit der Federspitze einen kräftigen Stich.","Neville, die Zunge zwischen den Zähnen, hob den {{c1::Mimbulus}} mimbeltonia auf Augenhöhe, wählte einen Punkt und versetzte dem Gewächs mit der Federspitze einen kräftigen Stich.",05_harry_potter_und_der_orden_des_phoenix
Mindester,Mindesten,NOUN,3,masculine,singular,,,,,"Niemand schien im Mindesten auf ihn zu achten, außer der krötenartigen Hexe zu Fudges Rechten, die nun zu ihm statt zu Dumbledore hinabspähte.","Niemand schien im {{c1::Mindesten}} auf ihn zu achten, außer der krötenartigen Hexe zu Fudges Rechten, die nun zu ihm statt zu Dumbledore hinabspähte.",05_harry_potter_und_der_orden_des_phoenix
Mundungus,Mundungus,NOUN,3,feminine,singular,,,,,"Die Rauchwolke verschwand, als Mundungus seine Pfeife wieder in die Tasche steckte, doch zurück blieb ein beißender Geruch nach brennenden Socken.","Die Rauchwolke verschwand, als {{c1::Mundungus}} seine Pfeife wieder in die Tasche steckte, doch zurück blieb ein beißender Geruch nach brennenden Socken.",05_harry_potter_und_der_orden_des_phoenix
Nasblutnugat,Nasblutnugat,NOUN,3,neuter,singular,,,,,George hat die Kollapskekse gegessen - das Nasblutnugat haben wir alle beide ausprobiert -«,George hat die Kollapskekse gegessen - das {{c1::Nasblutnugat}} haben wir alle beide ausprobiert -«,05_harry_potter_und_der_orden_des_phoenix
Nymphadora,Nymphadora,NOUN,3,feminine,singular,,,,,"»Nenn mich nicht Nymphadora, Remus«, sagte die junge Hexe schaudernd, »nur Tonks.«","»Nenn mich nicht {{c1::Nymphadora}}, Remus«, sagte die junge Hexe schaudernd, »nur Tonks.«",05_harry_potter_und_der_orden_des_phoenix
Okklumentikunterricht,Okklumentikunterricht,NOUN,3,masculine,singular,,,,,"»Aber warum hast du keinen Okklumentikunterricht mehr?«, fragte Hermine stirnrunzelnd.","»Aber warum hast du keinen {{c1::Okklumentikunterricht}} mehr?«, fragte Hermine stirnrunzelnd.",05_harry_potter_und_der_orden_des_phoenix
Ostflügel,Ostflügel,NOUN,3,masculine,singular,Ostflügeln,Ostflügel,,,"»So spricht ein wahrer Freund und Weasley«, sagte Fred und patschte Ron tun, gleich nach dem Unterricht, weil wir die größte Wirkung erzielen, wenn sic h alle in den Gängen rumtreiben - Harry, wir lassen es irgendwo im Ostflügel los, damit locken wir sie gleich aus ihrem Büro - ich schätze, wir sollten dir, sagen wir, zwanzig Minuten garantieren können?«, meinte er mit Blick auf George.","»So spricht ein wahrer Freund und Weasley«, sagte Fred und patschte Ron tun, gleich nach dem Unterricht, weil wir die größte Wirkung erzielen, wenn sic h alle in den Gängen rumtreiben - Harry, wir lassen es irgendwo im {{c1::Ostflügel}} los, damit locken wir sie gleich aus ihrem Büro - ich schätze, wir sollten dir, sagen wir, zwanzig Minuten garantieren können?«, meinte er mit Blick auf George.",05_harry_potter_und_der_orden_des_phoenix
Parkettboden,Parkettboden,NOUN,3,masculine,singular,Parkettböden,,,,"»Komm raus, komm raus, kleiner Harry!«, rief sie mit ihrer gekünstelten Babystimme, die vom Parkettboden widerhallte.","»Komm raus, komm raus, kleiner Harry!«, rief sie mit ihrer gekünstelten Babystimme, die vom {{c1::Parkettboden}} widerhallte.",05_harry_potter_und_der_orden_des_phoenix
Privatarmee,Privatarmee,NOUN,3,feminine,singular,Privatarmeen,,,,"»Genau das glaubt er«, sagte Sirius, »besser gesagt, genau das befürchtet er von Dumbledore - dass er seine eigene Privatarmee aufstellt, mit der er dann das Zaubereiministerium übernehmen kann.«","»Genau das glaubt er«, sagte Sirius, »besser gesagt, genau das befürchtet er von Dumbledore - dass er seine eigene {{c1::Privatarmee}} aufstellt, mit der er dann das Zaubereiministerium übernehmen kann.«",05_harry_potter_und_der_orden_des_phoenix
Prüfungsblatt,Prüfungsblatt,NOUN,3,masculine,singular,,,,,Harry drehte mit heftig pochendem Herzen sein Prüfungsblatt um - drei Reihen rechts von ihm und vier Plätze weiter vorne kritzelte Hermine bereits auf ihr Blatt - und senkte den Blick auf die erste Frage: a),Harry drehte mit heftig pochendem Herzen sein {{c1::Prüfungsblatt}} um - drei Reihen rechts von ihm und vier Plätze weiter vorne kritzelte Hermine bereits auf ihr Blatt - und senkte den Blick auf die erste Frage: a),05_harry_potter_und_der_orden_des_phoenix
Ratzeputz,Ratzeputz,NOUN,3,masculine,singular,,,,,« Sie richtete den Zauberstab auf Hedwigs Käfig. »Ratzeputz.«,« Sie richtete den Zauberstab auf Hedwigs Käfig. »{{c1::Ratzeputz}}.«,05_harry_potter_und_der_orden_des_phoenix
Rhabarberauflauf,Rhabarberauflauf,NOUN,3,masculine,singular,,,,,"Weasley Sirius einen sehr bösen Blick zu, dann stand sie auf, um zum Nachtisch einen großen Rhabarberauflauf zu holen.","Weasley Sirius einen sehr bösen Blick zu, dann stand sie auf, um zum Nachtisch einen großen {{c1::Rhabarberauflauf}} zu holen.",05_harry_potter_und_der_orden_des_phoenix
Samtschleife,Samtschleife,NOUN,3,feminine,singular,Samtschleife,,Samtschleife (1),,"Die kleine schwarze Samtschleife, die auf ihrem kurzen Lockenhaarschopf saß, erinnerte ihn an eine große Fliege, die sie gleich mit einer langen klebrigen Zunge fangen würde.","Die kleine schwarze {{c1::Samtschleife}}, die auf ihrem kurzen Lockenhaarschopf saß, erinnerte ihn an eine große Fliege, die sie gleich mit einer langen klebrigen Zunge fangen würde.",05_harry_potter_und_der_orden_des_phoenix
Schildzauber,Schildzauber,NOUN,3,masculine,singular,,,,,"Er machte so rasche Fortschritte, dass er den anderen schon auf die Nerven ging, und als Harry ihnen den Schildzauber beibrachte - der schwächere Flüche abprallen ließ und auf den Angreifer zurückschleuderte -, da gelang nur Hermine der Zauber schneller als Neville.","Er machte so rasche Fortschritte, dass er den anderen schon auf die Nerven ging, und als Harry ihnen den {{c1::Schildzauber}} beibrachte - der schwächere Flüche abprallen ließ und auf den Angreifer zurückschleuderte -, da gelang nur Hermine der Zauber schneller als Neville.",05_harry_potter_und_der_orden_des_phoenix
Schlibbrig,Schlibbrigen,NOUN,3,neuter,plural,Schlibbrigen,,Schlibbrigen (2),,"»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den Schlibbrigen Summlinger oder den Schrumpfhörnigen Schnarchkackler nicht gibt!","»Lacht ihr nur«, sagte Luna und ihre Stimme wurde lauter, offenbar weil sie glaubte, dass Parvati und Lavender über das lachten, was sie gesagt hatte, und nicht über das, was sie trug, »aber früher haben die Leute auch geglaubt, dass es so was wie den {{c1::Schlibbrigen}} Summlinger oder den Schrumpfhörnigen Schnarchkackler nicht gibt!",05_harry_potter_und_der_orden_des_phoenix
Schokofroschkart,Schokofroschkarten,NOUN,3,,plural,Schokofroschkarten,,Schokofroschkarten (3),,"Harry, Ginny und Neville hatten ihre Kürbiskuchen aufgegessen und tauschten nun eifrig Schokofroschkarten, als die Abteiltür aufglitt und die beiden hereinkamen, begleitet von Krummbein und einem schrill in seinem Käfig schreienden Pigwidgeon.","Harry, Ginny und Neville hatten ihre Kürbiskuchen aufgegessen und tauschten nun eifrig {{c1::Schokofroschkarten}}, als die Abteiltür aufglitt und die beiden hereinkamen, begleitet von Krummbein und einem schrill in seinem Käfig schreienden Pigwidgeon.",05_harry_potter_und_der_orden_des_phoenix
Schülerorganisation,Schülerorganisationen,NOUN,3,feminine,plural,Schülerorganisationen,,Schülerorganisationen (2),,"Alle Schülerorganisationen, Gesellschaften, Mannschaften, Gruppen und Klubs sind mit sofortiger Wirkung aufgelöst.","Alle {{c1::Schülerorganisationen}}, Gesellschaften, Mannschaften, Gruppen und Klubs sind mit sofortiger Wirkung aufgelöst.",05_harry_potter_und_der_orden_des_phoenix
Siebtklässler,Siebtklässler,NOUN,3,,plural,Siebtklässler,,Siebtklässler (3),,"Wenn Slytherins, manche von ihnen Siebtklässler und um einiges größer als Ron, ihm im Vorbeigehen zumurmelten: »Hast du schon ein Bett im Krankenflügel gebucht, Weasley?«, dann lachte er nicht, sondern wurde hauchzart grün im Gesicht.","Wenn Slytherins, manche von ihnen {{c1::Siebtklässler}} und um einiges größer als Ron, ihm im Vorbeigehen zumurmelten: »Hast du schon ein Bett im Krankenflügel gebucht, Weasley?«, dann lachte er nicht, sondern wurde hauchzart grün im Gesicht.",05_harry_potter_und_der_orden_des_phoenix
Steinbog,Steinbogen,NOUN,3,neuter,singular,Steinbogen,,Steinbogen (1),,"Statt eines Kettenstuhls erhob sich inmitten der Senke jedoch ein steinernes Podium, über das sich ein Steinbogen spannte, so uralt, rissig und bröcklig, dass Harry sich wunderte, dass er überhaupt noch stand.","Statt eines Kettenstuhls erhob sich inmitten der Senke jedoch ein steinernes Podium, über das sich ein {{c1::Steinbogen}} spannte, so uralt, rissig und bröcklig, dass Harry sich wunderte, dass er überhaupt noch stand.",05_harry_potter_und_der_orden_des_phoenix
Stoffwiederholung,Stoffwiederholungen,NOUN,3,,plural,Stoffwiederholungen,,Stoffwiederholungen (3),,"Es war der erste Tag der Osterferien, und wie es ihre Gewohnheit war, hatte Hermine ihn größtenteils damit verbracht, für alle drei Stundenpläne für ihre Stoffwiederholungen zu entwerfen.","Es war der erste Tag der Osterferien, und wie es ihre Gewohnheit war, hatte Hermine ihn größtenteils damit verbracht, für alle drei Stundenpläne für ihre {{c1::Stoffwiederholungen}} zu entwerfen.",05_harry_potter_und_der_orden_des_phoenix
Streif,Streif,NOUN,3,masculine,singular,,,,,"Ein breiter Streif Sonnenlicht, in dem der Staub wirbelte, teilte den Raum, und schon im nächsten Moment wurde er durch eine hereinrauschende Schülerschar wieder verdunkelt.","Ein breiter {{c1::Streif}} Sonnenlicht, in dem der Staub wirbelte, teilte den Raum, und schon im nächsten Moment wurde er durch eine hereinrauschende Schülerschar wieder verdunkelt.",05_harry_potter_und_der_orden_des_phoenix
Stummelfinger,Stummelfingern,NOUN,3,,plural,Stummelfingern,,Stummelfingern (3),,"Harry unterdrückte ein Schaudern, als sie ihn mit ihren dicken Stummelfingern berührte, an denen sie etliche hässliche, alte Ringe trug.","Harry unterdrückte ein Schaudern, als sie ihn mit ihren dicken {{c1::Stummelfingern}} berührte, an denen sie etliche hässliche, alte Ringe trug.",05_harry_potter_und_der_orden_des_phoenix
Tierwesen,Tierwesen,NOUN,3,neuter,plural,Tierwesen,,Tierwesen (1),,"konnte, aber damals war es ein Spiegelbild gewesen, etwas viel Ungreifbareres als hundert sehr handfest aussehende Tierwesen, die stark genug waren, eine ganze Armada von Kutschen zu ziehen.","konnte, aber damals war es ein Spiegelbild gewesen, etwas viel Ungreifbareres als hundert sehr handfest aussehende {{c1::Tierwesen}}, die stark genug waren, eine ganze Armada von Kutschen zu ziehen.",05_harry_potter_und_der_orden_des_phoenix
UTZ-Niveau,UTZ-Niveau,NOUN,3,neuter,singular,,,,,"Diese sind leichter als Beschwörungszauber, die Sie für gewöhnlich erst auf UTZ-Niveau versuchen werden, und dennoch gehören sie zur schwierigsten Magie, die beim ZAG geprüft wird.","Diese sind leichter als Beschwörungszauber, die Sie für gewöhnlich erst auf {{c1::UTZ-Niveau}} versuchen werden, und dennoch gehören sie zur schwierigsten Magie, die beim ZAG geprüft wird.",05_harry_potter_und_der_orden_des_phoenix
Umbridge,Umbridge,NOUN,3,feminine,singular,,,,,»Das ist diese Umbridge!«,»Das ist diese {{c1::Umbridge}}!«,05_harry_potter_und_der_orden_des_phoenix
Verteidigungsgruppe,Verteidigungsgruppe,NOUN,3,feminine,singular,,,,,"»Allerdings«, sagte Sirius, »und völlig zu Recht, findest du nicht, wenn du an deinem freien Wochenende gleich als Erstes eine illegale Verteidigungsgruppe gründest.«","»Allerdings«, sagte Sirius, »und völlig zu Recht, findest du nicht, wenn du an deinem freien Wochenende gleich als Erstes eine illegale {{c1::Verteidigungsgruppe}} gründest.«",05_harry_potter_und_der_orden_des_phoenix
Wahrsagelehrer,Wahrsagelehrer,NOUN,3,masculine,singular,,,,,"»Und was«, sagte sie in einem Flüsterton, der in der ganzen Eingangshalle zu vernehmen war, »machen Sie mit ihr, wenn ich einen neuen Wahrsagelehrer ernenne, der ihre Räumlichkeiten benötigt?«","»Und was«, sagte sie in einem Flüsterton, der in der ganzen Eingangshalle zu vernehmen war, »machen Sie mit ihr, wenn ich einen neuen {{c1::Wahrsagelehrer}} ernenne, der ihre Räumlichkeiten benötigt?«",05_harry_potter_und_der_orden_des_phoenix
Wasserbecken,Wasserbeckens,NOUN,3,neuter,singular,Wasserbecken,,,,"Eine Gruppe goldener Statuen, überlebensgroß, erhob sich inmitten eines runden Wasserbeckens, Die größte stellte einen vornehm wirkenden Zauberer dar, der den Zauberstab senkrecht in die Höhe reckte.","Eine Gruppe goldener Statuen, überlebensgroß, erhob sich inmitten eines runden {{c1::Wasserbeckens}}, Die größte stellte einen vornehm wirkenden Zauberer dar, der den Zauberstab senkrecht in die Höhe reckte.",05_harry_potter_und_der_orden_des_phoenix
Zaubertrankbereitung,Zaubertrankbereitung,NOUN,3,feminine,singular,,,,,"»Die Eigenschaften ... von Mondstein ... und seine Anwendungen ... in der Zaubertrankbereitung««, murmelte er und schrieb die Worte oben auf sein Pergament.","»Die Eigenschaften ... von Mondstein ... und seine Anwendungen ... in der {{c1::Zaubertrankbereitung}}««, murmelte er und schrieb die Worte oben auf sein Pergament.",05_harry_potter_und_der_orden_des_phoenix
Zufahrtsweg,Zufahrtsweg,NOUN,3,masculine,singular,Zufahrtswege,Zufahrtswegen,,,"Die sechs kämpften sich, ihre Koffer hinter sich herschleifend, den rutschigen Zufahrtsweg zum Schloss hoch.","Die sechs kämpften sich, ihre Koffer hinter sich herschleifend, den rutschigen {{c1::Zufahrtsweg}} zum Schloss hoch.",05_harry_potter_und_der_orden_des_phoenix
Zuschwang,zuschwang,NOUN,3,masculine,singular,,,,,"Als sie hinter ihnen zuschwang, hörten sie Mrs.","Als sie hinter ihnen {{c1::zuschwang}}, hörten sie Mrs.",05_harry_potter_und_der_orden_des_phoenix
abwehrend,abwehrend,ADV,3,,,,,,,"»Ich - nun - na ja, okay, ich sag's dir, aber nicht lachen, ja?«, stammelte Ron abwehrend und lief mit jeder Sekunde röter an.","»Ich - nun - na ja, okay, ich sag's dir, aber nicht lachen, ja?«, stammelte Ron {{c1::abwehrend}} und lief mit jeder Sekunde röter an.",05_harry_potter_und_der_orden_des_phoenix
bedauernd,bedauernd,ADV,3,,,,,,,"»Sie traut uns kein bisschen, weißt du«, sagte Ron bedauernd.","»Sie traut uns kein bisschen, weißt du«, sagte Ron {{c1::bedauernd}}.",05_harry_potter_und_der_orden_des_phoenix
bedeutsam,bedeutsam,ADV,3,,,,,,,"»Völlig richtig«, sagte Dumbledore, »aber die Anwesenheit von Dementoren in dieser Gasse ist höchst bedeutsam.","»Völlig richtig«, sagte Dumbledore, »aber die Anwesenheit von Dementoren in dieser Gasse ist höchst {{c1::bedeutsam}}.",05_harry_potter_und_der_orden_des_phoenix
einritzen,eingeritzt,VERB,3,,,,,,,"Zugleich waren die Wörter auf dem Rücken von Harrys rechter Hand aufgetaucht, in seine Haut geschnitten, als hätte ein Skalpell sie dort eingeritzt.","Zugleich waren die Wörter auf dem Rücken von Harrys rechter Hand aufgetaucht, in seine Haut geschnitten, als hätte ein Skalpell sie dort {{c1::eingeritzt}}.",05_harry_potter_und_der_orden_des_phoenix
einz'g,einz'gen,ADJ,3,,,,,,,"»Weasley fängt doch nie ein Ding, Schützt ja keinen einz'gen Ring, So singen wir von Slytherin:","»Weasley fängt doch nie ein Ding, Schützt ja keinen {{c1::einz'gen}} Ring, So singen wir von Slytherin:",05_harry_potter_und_der_orden_des_phoenix
ermutigend,ermutigend,ADV,3,,,,,,,"Als weder Ron noch Harry antworteten, hakte sie nach: »Ich meine, na gut, ich hab nicht die Spitzennote erwartet, nicht, wenn er nach ZAG-Standard benotet, aber ein »Bestanden« ist vorerst ganz ermutigend, meint ihr nicht?","Als weder Ron noch Harry antworteten, hakte sie nach: »Ich meine, na gut, ich hab nicht die Spitzennote erwartet, nicht, wenn er nach ZAG-Standard benotet, aber ein »Bestanden« ist vorerst ganz {{c1::ermutigend}}, meint ihr nicht?",05_harry_potter_und_der_orden_des_phoenix
gesellen,gesellten,VERB,3,,,,,,,"Harry und Mr. Weasley gesellten sich zu der Gruppe, die an einem der Fahrstühle wartete.","Harry und Mr. Weasley {{c1::gesellten}} sich zu der Gruppe, die an einem der Fahrstühle wartete.",05_harry_potter_und_der_orden_des_phoenix
gezierten,gezierten,ADJ,3,,,,,,,"»Ich habe Sie gewiss missverstanden, Professor Dumbledore«, sagte sie mit einem gezierten Lächeln, das die Kälte ihrer großen, runden Augen","»Ich habe Sie gewiss missverstanden, Professor Dumbledore«, sagte sie mit einem {{c1::gezierten}} Lächeln, das die Kälte ihrer großen, runden Augen",05_harry_potter_und_der_orden_des_phoenix
grade,grade,ADV,3,,,,,,,"»Hab sie grade noch erwischt«, sagte er freudestrahlend.","»Hab sie {{c1::grade}} noch erwischt«, sagte er freudestrahlend.",05_harry_potter_und_der_orden_des_phoenix
halber,halber,ADV,3,,,,,,,"»Ach, weißt du, be i nichtmagischen Wunden wirkt das ganz gut«, sagte Hermine der Fairness halber.","»Ach, weißt du, be i nichtmagischen Wunden wirkt das ganz gut«, sagte Hermine der Fairness {{c1::halber}}.",05_harry_potter_und_der_orden_des_phoenix
hochblicken,hochblickte,VERB,3,,,,,,,"Sein langer silberner Bart und seine Haare schimmerten im Fackellicht, als er sich an Harrys Seite stellte und durch die Halbmondgläser seiner Brille, die auf halber Höhe auf seiner scharfen Hakennase ruhte, zu Fudge hochblickte.","Sein langer silberner Bart und seine Haare schimmerten im Fackellicht, als er sich an Harrys Seite stellte und durch die Halbmondgläser seiner Brille, die auf halber Höhe auf seiner scharfen Hakennase ruhte, zu Fudge {{c1::hochblickte}}.",05_harry_potter_und_der_orden_des_phoenix
knubblig,knubbligen,ADJ,3,,,,,,,"Pansy Parkinson ließ ein kreischendes Lachen hören, das jedoch gleic h in einen Schrei überging, als die Zweige auf dem Tisch in die Luft sprangen und sich als kleine wichtelhafte Geschöpfe aus Holz erwiesen, mit knubbligen braunen Armen und Beinen, zwei zweigartigen Fingern am Ende jeder Hand und einem lustigen flachen, rindenähnlichen Gesicht, in dem ein Paar käferbraune Augen glitzerte.","Pansy Parkinson ließ ein kreischendes Lachen hören, das jedoch gleic h in einen Schrei überging, als die Zweige auf dem Tisch in die Luft sprangen und sich als kleine wichtelhafte Geschöpfe aus Holz erwiesen, mit {{c1::knubbligen}} braunen Armen und Beinen, zwei zweigartigen Fingern am Ende jeder Hand und einem lustigen flachen, rindenähnlichen Gesicht, in dem ein Paar käferbraune Augen glitzerte.",05_harry_potter_und_der_orden_des_phoenix
kringeln,kringelte,VERB,3,,,,,,,"Während es in Flammen aufging, kringelte es sich ein und schwebte zu Boden.","Während es in Flammen aufging, {{c1::kringelte}} es sich ein und schwebte zu Boden.",05_harry_potter_und_der_orden_des_phoenix
listig,listig,ADV,3,,,,,,,Und listig obendrauf.,Und {{c1::listig}} obendrauf.,05_harry_potter_und_der_orden_des_phoenix
pockennarbig,pockennarbigen,ADJ,3,,,,,,,"Augustus Rookwood, hieß es unter einem pockennarbigen Mann mit fettigem Haar, der sich mit gelangweilter Miene gegen den Rand seines Bildes lehnte, verurteilt, weil er Geheimnisse des Zaubereiministeriums an Ihn, dessen Name nicht genannt werden darf, verraten hat.","Augustus Rookwood, hieß es unter einem {{c1::pockennarbigen}} Mann mit fettigem Haar, der sich mit gelangweilter Miene gegen den Rand seines Bildes lehnte, verurteilt, weil er Geheimnisse des Zaubereiministeriums an Ihn, dessen Name nicht genannt werden darf, verraten hat.",05_harry_potter_und_der_orden_des_phoenix
sorry,Sorry,ADV,3,,,,,,,"»Sorry!«, stöhnte Ron und schoss vor, um zu sehen, ob er ihr arg wehgetan hatte.","»{{c1::Sorry}}!«, stöhnte Ron und schoss vor, um zu sehen, ob er ihr arg wehgetan hatte.",05_harry_potter_und_der_orden_des_phoenix
sträubenden,sträubenden,ADJ,3,,,,,,,Auf ihrer Schulter schwankte Hedwig und in den Armen trug sie einen sich sträubenden Krummbein.,Auf ihrer Schulter schwankte Hedwig und in den Armen trug sie einen sich {{c1::sträubenden}} Krummbein.,05_harry_potter_und_der_orden_des_phoenix
umbiegen,umbiegen,VERB,3,,,,,,,"Padma Patil schauderte, und Neville ließ ein merkwürdiges Japsen hören, das er gerade noch zu einem Husten umbiegen konnte.","Padma Patil schauderte, und Neville ließ ein merkwürdiges Japsen hören, das er gerade noch zu einem Husten {{c1::umbiegen}} konnte.",05_harry_potter_und_der_orden_des_phoenix
