lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Kerkertür,Kerkertür,NOUN,3,feminine,singular,,,,,"»Ist das nicht toll, Harry?«, sagte Colin, kaum hatte Harry die Kerkertür hinter sich geschlossen.","»Ist das nicht toll, Harry?«, sagte Colin, kaum hatte Harry die {{c1::Kerkertür}} hinter sich geschlossen.",04_harry_potter_und_der_feuerkelch
Kettenstuhl,Kettenstuhl,NOUN,3,neuter,singular,,,,,"Ein leises Schaudern lief durch die Zuschauerreihen, während die Dementoren den Mann zu dem Kettenstuhl führten und dann hinausglitten.","Ein leises Schaudern lief durch die Zuschauerreihen, während die Dementoren den Mann zu dem {{c1::Kettenstuhl}} führten und dann hinausglitten.",04_harry_potter_und_der_feuerkelch
Knallrümpfig,Knallrümpfigen,NOUN,3,,plural,Knallrümpfigen,,Knallrümpfigen (3),,"»Wir warten besser auf die Slytherins, die wollen das sicher nicht verpassen, die Knallrümpfigen Kröter!«","»Wir warten besser auf die Slytherins, die wollen das sicher nicht verpassen, die {{c1::Knallrümpfigen}} Kröter!«",04_harry_potter_und_der_feuerkelch
Krum,Krum,NOUN,3,neuter,singular,,,,,Uuuuuund – Krum!«,Uuuuuund – {{c1::Krum}}!«,04_harry_potter_und_der_feuerkelch
Kurzschnäuzler,Kurzschnäuzler,NOUN,3,masculine,singular,,,,,"»Dort drüben ist ein Gemeiner Walisischer Grünling, der kleine da – dieser blaugraue – ist ein Schwedischer Kurzschnäuzler und der rote dort ist ein Chinesischer Feuerball.«","»Dort drüben ist ein Gemeiner Walisischer Grünling, der kleine da – dieser blaugraue – ist ein Schwedischer {{c1::Kurzschnäuzler}} und der rote dort ist ein Chinesischer Feuerball.«",04_harry_potter_und_der_feuerkelch
Lehrertisch,Lehrertisch,NOUN,3,masculine,singular,,,,,"»Wo ist der neue Lehrer für Verteidigung gegen die dunklen Künste?«, fragte Hermine, die ebenfalls zum Lehrertisch hochsah.","»Wo ist der neue Lehrer für Verteidigung gegen die dunklen Künste?«, fragte Hermine, die ebenfalls zum {{c1::Lehrertisch}} hochsah.",04_harry_potter_und_der_feuerkelch
Lichterfeen,Lichterfeen,NOUN,3,,plural,Lichterfeen,,Lichterfeen (3),,"Er spähte über ihre Köpfe hinweg und sah, dass sie draußen direkt vor dem Schloss ein Stück Rasen in eine Art Grotte voller Lichterfeen verwandelt hatten – Hunderte von echten Feen saßen dort in Rosenbüschen oder flatterten über einem steinernen Weihnachtsmann mit Rentier.","Er spähte über ihre Köpfe hinweg und sah, dass sie draußen direkt vor dem Schloss ein Stück Rasen in eine Art Grotte voller {{c1::Lichterfeen}} verwandelt hatten – Hunderte von echten Feen saßen dort in Rosenbüschen oder flatterten über einem steinernen Weihnachtsmann mit Rentier.",04_harry_potter_und_der_feuerkelch
Portschlüssel,Portschlüsseln,NOUN,3,masculine,plural,Portschlüsseln,,Portschlüsseln (1),,"»Morgen, Basil«, sagte Mr Weasley, hob den Stiefel auf und reichte ihn dem Zauberer im Kilt, der ihn in eine große Kiste mit gebrauchten Portschlüsseln warf;","»Morgen, Basil«, sagte Mr Weasley, hob den Stiefel auf und reichte ihn dem Zauberer im Kilt, der ihn in eine große Kiste mit gebrauchten {{c1::Portschlüsseln}} warf;",04_harry_potter_und_der_feuerkelch
Sammelzauber,Sammelzaubers,NOUN,3,masculine,singular,,,,,"die Zwillinge hatten offenbar beabsichtigt, möglichst viele Toffeebohnen aus dem Haus zu schmuggeln, und erst mit Hilfe ihres Sammelzaubers schaffte es Mrs Weasley, aller habhaft zu werden.","die Zwillinge hatten offenbar beabsichtigt, möglichst viele Toffeebohnen aus dem Haus zu schmuggeln, und erst mit Hilfe ihres {{c1::Sammelzaubers}} schaffte es Mrs Weasley, aller habhaft zu werden.",04_harry_potter_und_der_feuerkelch
Schocker,Schocker,NOUN,3,masculine,singular,,,,,"Versuch es bloß nicht mit einem Schockzauber – Drachen sind zu stark und als magische Wesen viel zu mächtig, um von einem einzigen Schocker ausgeschaltet zu werden.","Versuch es bloß nicht mit einem Schockzauber – Drachen sind zu stark und als magische Wesen viel zu mächtig, um von einem einzigen {{c1::Schocker}} ausgeschaltet zu werden.",04_harry_potter_und_der_feuerkelch
Schulkrankenschwester,Schulkrankenschwester,NOUN,3,masculine,plural,Schulkrankenschwester,,Schulkrankenschwester (1),,"Allerdings fanden sich am Ende des Schreibens einige sorgsam gewählte Bemerkungen der Schulkrankenschwester, die nicht einmal Onkel Vernon und Tante Petunia wegerklären konnten.","Allerdings fanden sich am Ende des Schreibens einige sorgsam gewählte Bemerkungen der {{c1::Schulkrankenschwester}}, die nicht einmal Onkel Vernon und Tante Petunia wegerklären konnten.",04_harry_potter_und_der_feuerkelch
Sippschaft,Sippschaft,NOUN,3,feminine,singular,Sippschaften,,,,"Jedenfalls sieht's nicht so aus, als käme irgendwas über seine Sippschaft in unseren Nachrichten –«","Jedenfalls sieht's nicht so aus, als käme irgendwas über seine {{c1::Sippschaft}} in unseren Nachrichten –«",04_harry_potter_und_der_feuerkelch
Sirren,Sirren,NOUN,3,neuter,singular,,,,,"Ein gleißend heller grüner Lichtstrahl, ein scharfes Sirren, als ob ein mächtiges, unsichtbares Etwas durch die Luft raste – und im selben Augenblick kullerte die Spinne auf den Rücken, unverletzt, doch offensichtlich tot.","Ein gleißend heller grüner Lichtstrahl, ein scharfes {{c1::Sirren}}, als ob ein mächtiges, unsichtbares Etwas durch die Luft raste – und im selben Augenblick kullerte die Spinne auf den Rücken, unverletzt, doch offensichtlich tot.",04_harry_potter_und_der_feuerkelch
Slytherin-Mädch,Slytherin-Mädchen,NOUN,3,,plural,Slytherin-Mädchen,,Slytherin-Mädchen (3),,Pansy Parkinson und die anderen Slytherin-Mädchen krümmten sich hinter Snapes Rücken lautlos vor Lachen und deuteten mit den Fingern auf Hermine.,Pansy Parkinson und die anderen {{c1::Slytherin-Mädchen}} krümmten sich hinter Snapes Rücken lautlos vor Lachen und deuteten mit den Fingern auf Hermine.,04_harry_potter_und_der_feuerkelch
Sonorus,Sonorus,NOUN,3,masculine,plural,Sonorus,,Sonorus (2),,"Ludo zückte seinen Zauberstab, richtete ihn gegen die eigene Kehle und sagte: »Sonorus!«","Ludo zückte seinen Zauberstab, richtete ihn gegen die eigene Kehle und sagte: »{{c1::Sonorus}}!«",04_harry_potter_und_der_feuerkelch
Stichflamme,Stichflammen,NOUN,3,feminine,plural,Stichflammen,,Stichflammen (1),,"In einem mit schweren Holzplanken umgrenzten Gehege standen vier ausgewachsene, gewaltige, bösartig aussehende Drachen brüllend und schnaubend auf den Hinterbeinen – aus ihren weit aufgerissenen, mit Fangzähnen gespickten Mäulern, fünfzehn Meter hoch auf den gereckten Hälsen, schossen lange Stichflammen in die Nacht.","In einem mit schweren Holzplanken umgrenzten Gehege standen vier ausgewachsene, gewaltige, bösartig aussehende Drachen brüllend und schnaubend auf den Hinterbeinen – aus ihren weit aufgerissenen, mit Fangzähnen gespickten Mäulern, fünfzehn Meter hoch auf den gereckten Hälsen, schossen lange {{c1::Stichflammen}} in die Nacht.",04_harry_potter_und_der_feuerkelch
Umtrieb,Umtriebe,NOUN,3,,plural,Umtriebe,Umtrieben,Umtriebe (2); Umtrieben (1),,"Schön, Mad-Eye hat sich vielleicht deinem Fanclub angeschlossen, ich aber werde diese Umtriebe nicht dulden!","Schön, Mad-Eye hat sich vielleicht deinem Fanclub angeschlossen, ich aber werde diese {{c1::Umtriebe}} nicht dulden!",04_harry_potter_und_der_feuerkelch
Vortreppe,Vortreppe,NOUN,3,feminine,singular,Vortreppen,,,,Sie gingen im Gänsemarsch die Vortreppe hinunter und reihten sich vor dem Schloss auf.,Sie gingen im Gänsemarsch die {{c1::Vortreppe}} hinunter und reihten sich vor dem Schloss auf.,04_harry_potter_und_der_feuerkelch
Wahrheitselixier,Wahrheitselixier,NOUN,3,masculine,singular,,,,,"»Das ist ein Veritaserum – ein Wahrheitselixier, das so mächtig ist, dass drei Tropfen genügen, damit du vor der ganzen Klasse deine tiefsten Geheimnisse ausplauderst«, sagte Snape mit tückischer Miene.","»Das ist ein Veritaserum – ein {{c1::Wahrheitselixier}}, das so mächtig ist, dass drei Tropfen genügen, damit du vor der ganzen Klasse deine tiefsten Geheimnisse ausplauderst«, sagte Snape mit tückischer Miene.",04_harry_potter_und_der_feuerkelch
Wärmflasche,Wärmflasche,NOUN,3,feminine,singular,Wärmflaschen,,Wärmflaschen (1),,"Er stand auf und humpelte nach unten in die Küche, um seine Wärmflasche aufzufüllen, mit der er seinem steifen Knie ein wenig Linderung verschaffen konnte.","Er stand auf und humpelte nach unten in die Küche, um seine {{c1::Wärmflasche}} aufzufüllen, mit der er seinem steifen Knie ein wenig Linderung verschaffen konnte.",04_harry_potter_und_der_feuerkelch
ausmergeln,ausgemergelt,VERB,3,,,,,,,"Als sie sich verabschiedet hatten, war sein Gesicht noch ausgemergelt und hohlwangig gewesen, umwachsen von einer langen verfilzten Haarmähne – doch nun war sein Haar kurz und sauber, sein Gesicht voller, und er sah jünger aus, viel eher wie auf dem einzigen Foto, das Harry von ihm besaß und das bei der Hochzeit der Potters aufgenommen worden war.","Als sie sich verabschiedet hatten, war sein Gesicht noch {{c1::ausgemergelt}} und hohlwangig gewesen, umwachsen von einer langen verfilzten Haarmähne – doch nun war sein Haar kurz und sauber, sein Gesicht voller, und er sah jünger aus, viel eher wie auf dem einzigen Foto, das Harry von ihm besaß und das bei der Hochzeit der Potters aufgenommen worden war.",04_harry_potter_und_der_feuerkelch
bellend,bellend,ADV,3,,,,,,,sofort stürzte sich Fang wie verrückt bellend auf Harry und versuchte ihm die Ohren zu lecken.,sofort stürzte sich Fang wie verrückt {{c1::bellend}} auf Harry und versuchte ihm die Ohren zu lecken.,04_harry_potter_und_der_feuerkelch
belustigt,belustigt,ADV,3,,,,,,,Der zweite Mann klang belustigt.,Der zweite Mann klang {{c1::belustigt}}.,04_harry_potter_und_der_feuerkelch
beängstigend,beängstigend,ADV,3,,,,,,,"Hagrid, etwa doppelt so groß wie ein normal gewachsener Mann und mindestens dreimal so breit, sah mit seinem langen, wilden und zerzausten schwarzen Haar und seinem Bart ein wenig beängstigend aus – ein falscher Eindruck, wie Harry, Ron und Hermine wussten, denn Hagrid war von ausgesprochen freundlichem Gemüt.","Hagrid, etwa doppelt so groß wie ein normal gewachsener Mann und mindestens dreimal so breit, sah mit seinem langen, wilden und zerzausten schwarzen Haar und seinem Bart ein wenig {{c1::beängstigend}} aus – ein falscher Eindruck, wie Harry, Ron und Hermine wussten, denn Hagrid war von ausgesprochen freundlichem Gemüt.",04_harry_potter_und_der_feuerkelch
disappariert,disappariert,VERB,3,,,,,,,»Die sind bestimmt schon disappariert.«,»Die sind bestimmt schon {{c1::disappariert}}.«,04_harry_potter_und_der_feuerkelch
einbrennen,einbrennen,VERB,3,,,,,,,"»Weil ich das für immer in mein Gedächtnis einbrennen will«, sagte Ron mit geschlossenen Augen und einem Ausdruck von ungetrübter Glückseligkeit auf dem Gesicht.","»Weil ich das für immer in mein Gedächtnis {{c1::einbrennen}} will«, sagte Ron mit geschlossenen Augen und einem Ausdruck von ungetrübter Glückseligkeit auf dem Gesicht.",04_harry_potter_und_der_feuerkelch
einliefern,eingeliefert,VERB,3,,,,,,,"»Ich selbst war bereits in Askaban, als sie ihn eingeliefert haben.","»Ich selbst war bereits in Askaban, als sie ihn {{c1::eingeliefert}} haben.",04_harry_potter_und_der_feuerkelch
errötend,errötend,ADV,3,,,,,,,"»Mr Crouch – ich – ich habe nie auch nur eine Andeutung gemacht, dass Sie irgendetwas damit zu tun hätten!«, murmelte Amos Diggory unter seinem braunen Stoppelbart errötend.","»Mr Crouch – ich – ich habe nie auch nur eine Andeutung gemacht, dass Sie irgendetwas damit zu tun hätten!«, murmelte Amos Diggory unter seinem braunen Stoppelbart {{c1::errötend}}.",04_harry_potter_und_der_feuerkelch
ersaufen,ersaufen,VERB,3,,,,,,,"Dudley hatte, als er noch kleiner war, Unterricht bekommen, doch Tante Petunia und Onkel Vernon hatten sich nie darum gekümmert, dass Harry schwimmen lernte, zweifellos in der Hoffnung, Harry würde eines Tages ersaufen.","Dudley hatte, als er noch kleiner war, Unterricht bekommen, doch Tante Petunia und Onkel Vernon hatten sich nie darum gekümmert, dass Harry schwimmen lernte, zweifellos in der Hoffnung, Harry würde eines Tages {{c1::ersaufen}}.",04_harry_potter_und_der_feuerkelch
freimütig,freimütig,ADV,3,,,,,,,"Professor Dumbledore hat gesagt, wir dürfen freimütig –«","Professor Dumbledore hat gesagt, wir dürfen {{c1::freimütig}} –«",04_harry_potter_und_der_feuerkelch
genervt,genervt,ADV,3,,,,,,,In diesem Moment öffnete sich eine Tür auf dem zweiten Treppenabsatz und ein sehr genervt aussehendes Gesicht mit Hornbrille lugte hervor.,In diesem Moment öffnete sich eine Tür auf dem zweiten Treppenabsatz und ein sehr {{c1::genervt}} aussehendes Gesicht mit Hornbrille lugte hervor.,04_harry_potter_und_der_feuerkelch
hervortreten,hervortraten,VERB,3,,,,,,,"Zwanzig Minuten lang gingen sie durch den Wald, laut redend und scherzend, bis sie endlich auf der anderen Seite zwischen den Bäumen hervortraten und sich im Schatten eines gigantischen Stadions fanden.","Zwanzig Minuten lang gingen sie durch den Wald, laut redend und scherzend, bis sie endlich auf der anderen Seite zwischen den Bäumen {{c1::hervortraten}} und sich im Schatten eines gigantischen Stadions fanden.",04_harry_potter_und_der_feuerkelch
hierherkommen,hierherkommen,VERB,3,,,,,,,"»– und dann ist sie natürlich vors Zaubereiministerium gezogen, damit ich ihr nicht mehr nachspuke, deshalb musste ich wieder hierherkommen und in meinem Klo leben.","»– und dann ist sie natürlich vors Zaubereiministerium gezogen, damit ich ihr nicht mehr nachspuke, deshalb musste ich wieder {{c1::hierherkommen}} und in meinem Klo leben.",04_harry_potter_und_der_feuerkelch
hinuntersteigen,hinunterstiegen,VERB,3,,,,,,,"»Was hat Mr Crouch gesagt, Harry?«, fragte Dumbledore, während sie hastig die Marmortreppe hinunterstiegen.","»Was hat Mr Crouch gesagt, Harry?«, fragte Dumbledore, während sie hastig die Marmortreppe {{c1::hinunterstiegen}}.",04_harry_potter_und_der_feuerkelch
hochstarren,hochstarrte,VERB,3,,,,,,,"»Das können sie nicht machen!«, sagte George Weasley, der sich dem Strom zur Tür nicht angeschlossen hatte, sondern nur dastand und zornfunkelnd zu Dumbledore hochstarrte.","»Das können sie nicht machen!«, sagte George Weasley, der sich dem Strom zur Tür nicht angeschlossen hatte, sondern nur dastand und zornfunkelnd zu Dumbledore {{c1::hochstarrte}}.",04_harry_potter_und_der_feuerkelch
knirschend,knirschend,ADV,3,,,,,,,"»Hat er dich erwischt?«, sagte Moody leise knirschend.","»Hat er dich erwischt?«, sagte Moody leise {{c1::knirschend}}.",04_harry_potter_und_der_feuerkelch
konzentrier,Konzentrier,ADV,3,,,,,,,"»Konzentrier dich, Harry, konzentrier dich …«","»{{c1::Konzentrier}} dich, Harry, konzentrier dich …«",04_harry_potter_und_der_feuerkelch
kreischenden,kreischenden,ADJ,3,,,,,,,"»Sehr gewagt!«, rief Bagman, und Harry hörte, wie der Chinesische Feuerball einen grauenhaften, kreischenden Schrei ausstieß und die Menge auf einen Schlag den Atem anhielt.","»Sehr gewagt!«, rief Bagman, und Harry hörte, wie der Chinesische Feuerball einen grauenhaften, {{c1::kreischenden}} Schrei ausstieß und die Menge auf einen Schlag den Atem anhielt.",04_harry_potter_und_der_feuerkelch
schuhuhen,schuhuhte,VERB,3,,,,,,,"Hastig knüpfte Harry das Pergament los und setzte sich, um es zu lesen, woraufhin Hedwig ihm aufs Knie flatterte und leise schuhuhte.","Hastig knüpfte Harry das Pergament los und setzte sich, um es zu lesen, woraufhin Hedwig ihm aufs Knie flatterte und leise {{c1::schuhuhte}}.",04_harry_potter_und_der_feuerkelch
sisch,sisch,ADV,3,,,,,,,"»Isch 'offe, Sie befinden sisch wohl?«","»Isch 'offe, Sie befinden {{c1::sisch}} wohl?«",04_harry_potter_und_der_feuerkelch
totmachen,totgemacht,VERB,3,,,,,,,»Ihr habt ihn totgemacht!,»Ihr habt ihn {{c1::totgemacht}}!,04_harry_potter_und_der_feuerkelch
tränen,tränten,VERB,3,,,,,,,"Malfoy, dessen blasse Augen immer noch vor Schmerz und Scham tränten, sah voller Hass zu Moody auf und murmelte etwas, aus dem die Wörter »mein Vater« herauszuhören waren.","Malfoy, dessen blasse Augen immer noch vor Schmerz und Scham {{c1::tränten}}, sah voller Hass zu Moody auf und murmelte etwas, aus dem die Wörter »mein Vater« herauszuhören waren.",04_harry_potter_und_der_feuerkelch
türlich,türlich,ADV,3,,,,,,,"»Aahr, 'türlich hat er Recht – ihr habt alle Recht … war dumm von mir … mein alter Dad hätt sich geschämt für mich …«","»Aahr, '{{c1::türlich}} hat er Recht – ihr habt alle Recht … war dumm von mir … mein alter Dad hätt sich geschämt für mich …«",04_harry_potter_und_der_feuerkelch
umso,umso,ADV,3,,,,,,,"die Einzelheiten versickerten umso schneller, je angestrengter er versuchte, sie festzuhalten …","die Einzelheiten versickerten {{c1::umso}} schneller, je angestrengter er versuchte, sie festzuhalten …",04_harry_potter_und_der_feuerkelch
unwahrscheinlich,unwahrscheinlich,ADV,3,,,,,,,"deshalb war es höchst unwahrscheinlich, dass er seine Leiden in Magische Hauskrankheiten und Gebrechen wiederfinden würde.","deshalb war es höchst {{c1::unwahrscheinlich}}, dass er seine Leiden in Magische Hauskrankheiten und Gebrechen wiederfinden würde.",04_harry_potter_und_der_feuerkelch
unwichtig,unwichtig,ADV,3,,,,,,,Zuhören war unwichtig …,Zuhören war {{c1::unwichtig}} …,04_harry_potter_und_der_feuerkelch
verfärben,verfärbt,VERB,3,,,,,,,Das Feuer des Kelches hatte sich abermals rot verfärbt.,Das Feuer des Kelches hatte sich abermals rot {{c1::verfärbt}}.,04_harry_potter_und_der_feuerkelch
verstärkte,verstärkte,ADJ,3,,,,,,,"»Foul!«, echote Ludo Bagmans magisch kraftvoll verstärkte Stimme.","»Foul!«, echote Ludo Bagmans magisch kraftvoll {{c1::verstärkte}} Stimme.",04_harry_potter_und_der_feuerkelch
wehrlos,wehrlos,ADV,3,,,,,,,"»Das ist widerlich«, murmelte Ron und beobachtete, wie das kleinste Muggelkind zwanzig Meter über der Erde wie ein Kreisel zu wirbeln begann, das Köpfchen wehrlos von der einen auf die andere Schulter schlagend.","»Das ist widerlich«, murmelte Ron und beobachtete, wie das kleinste Muggelkind zwanzig Meter über der Erde wie ein Kreisel zu wirbeln begann, das Köpfchen {{c1::wehrlos}} von der einen auf die andere Schulter schlagend.",04_harry_potter_und_der_feuerkelch
wenigster,wenigsten,ADV,3,,,,,,,"»Und Sie hätten um ein Haar ausgerechnet die zwei Personen auf dieser Lichtung beschuldigt, die gewiss am wenigsten mit dem Dunklen Mal zu tun haben wollen!«, bellte Mr Crouch.","»Und Sie hätten um ein Haar ausgerechnet die zwei Personen auf dieser Lichtung beschuldigt, die gewiss am {{c1::wenigsten}} mit dem Dunklen Mal zu tun haben wollen!«, bellte Mr Crouch.",04_harry_potter_und_der_feuerkelch
Ähnliches,Ähnliches,NOUN,3,neuter,singular,,,,,"Harry hatte nur einmal etwas Ähnliches gehört, nämlich das Geisterorchester auf der Todestagsfeier des Fast Kopflosen Nick, als alle Mann hoch die Musiksäge gespielt hatten.","Harry hatte nur einmal etwas {{c1::Ähnliches}} gehört, nämlich das Geisterorchester auf der Todestagsfeier des Fast Kopflosen Nick, als alle Mann hoch die Musiksäge gespielt hatten.",04_harry_potter_und_der_feuerkelch
übertreten,übertritt,VERB,3,,,,,,,"Seit er an dieser Schule ist, übertritt er ständig Grenzen –«","Seit er an dieser Schule ist, {{c1::übertritt}} er ständig Grenzen –«",04_harry_potter_und_der_feuerkelch
